Parameter,Value,Source
"Social discount rate","3.5%","System_Model.RATE"
"Link opex rate (% of capex, p.a.)","0.435%","Options.LINK_OPEX_RATE"
"Baseline (NewLink) capacity","220 MW","Options.NewLink"
"Baseline (NewLink) capex, 2023 prices","£323m","Options.NewLink [Ofgem 2019 Table A3.3]"
"Staged-link fixed cost per stage","£24.7m","Options.STAGED_LINK_FIXED_PER_STAGE"
"Staged-link stage sizes (default)","110.0, 36.7, 36.7, 36.7 MW","Options.STAGED_LINK_STAGE_SIZES_DEFAULT"
"Wind availability/derating (AVAIL)","90%","System_Model.AVAIL"
"Curtailment/constraint-relief cost","£67.9/MWh","System_Model.CONSTRAINT_COST"
"Capex overrun — median multiplier","1.40x","System_Model.CAPEX_MEDIAN"
"Capex overrun — P90 multiplier (derived)","2.19x","System_Model.CAPEX_P90"
"Capex overrun — lognormal sigma","0.349","System_Model.CAPEX_SIGMA"
"Main Link background-generation trigger","135 MW","Decision_Rules.MAIN_LINK_BG_GEN_THRESHOLD"
"Flexible Cost-Aware cost cap","1.40x","System_Model.MAIN_LINK_COST_CAP"
"CfD strike price","£54.00/MWh","System_Model.CFD_STRIKE"
"Model horizon","2019–2051 (33 years)","System_Model.YEARS"
