Technology,Subtechnology,Category,Units,Scenario,Local_authority,Licence_area,Building_block,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Air conditioning,-,Demand,Number,Electric Engagement,Aberdeen City,SHEPD,Lct_BB014,1456,1559,1666,1787,1901,2023,2155,2293,2443,2600,2853,3179,3497,3764,4006,4292,4604,4944,5307,5694,6115,6565,7046,7564,8121,8719
Air conditioning,-,Demand,Number,Electric Engagement,Aberdeenshire,SHEPD,Lct_BB014,865,927,991,1061,1131,1206,1289,1374,1473,1567,1725,1925,2122,2290,2437,2619,2816,3024,3249,3488,3752,4032,4330,4652,4998,5369
Air conditioning,-,Demand,Number,Electric Engagement,Angus,SHEPD,Lct_BB014,440,471,509,544,584,625,669,720,772,826,914,1028,1137,1232,1315,1416,1526,1641,1768,1904,2052,2204,2377,2558,2752,2957
Air conditioning,-,Demand,Number,Electric Engagement,Argyll and Bute,SHEPD,Lct_BB014,252,270,288,306,334,359,386,414,451,484,533,600,672,729,783,840,905,976,1054,1139,1225,1320,1421,1539,1648,1782
Air conditioning,-,Demand,Number,Electric Engagement,Clackmannanshire,SHEPD,Lct_BB014,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,8,8,8,9
Air conditioning,-,Demand,Number,Electric Engagement,Dundee City,SHEPD,Lct_BB014,924,991,1060,1135,1214,1305,1396,1497,1602,1715,1895,2127,2352,2545,2720,2923,3148,3389,3646,3924,4223,4540,4886,5255,5654,6081
Air conditioning,-,Demand,Number,Electric Engagement,East Dunbartonshire,SHEPD,Lct_BB014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Air conditioning,-,Demand,Number,Electric Engagement,Fife,SHEPD,Lct_BB014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Air conditioning,-,Demand,Number,Electric Engagement,Highland,SHEPD,Lct_BB014,837,900,964,1028,1112,1193,1280,1369,1478,1578,1753,1970,2181,2364,2528,2720,2941,3164,3409,3670,3957,4255,4581,4931,5307,5716
Air conditioning,-,Demand,Number,Electric Engagement,Moray,SHEPD,Lct_BB014,301,320,345,367,396,425,458,494,530,570,634,714,795,857,920,991,1069,1154,1243,1340,1443,1554,1673,1804,1942,2089
