"local_authority_id","local_authority_name","local_authority_code","year","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles"
1,"Isles of Scilly","E06000053",1993,36,22,9e+05,1400000
2,"Nottinghamshire","E10000024",1993,4651,2890,2702600000,3368900000
3,"Glasgow City","S12000049",1993,1769,1099,1381200000,1662600000
4,"North Lanarkshire","S12000050",1993,1607,999,1253500000,1547600000
5,"Somerset","E06000066",1993,6630,4120,2410300000,2958200000
6,"Newport","W06000022",1993,709,441,712300000,883200000
7,"Bridgend","W06000013",1993,732,455,504200000,599100000
8,"Swansea","W06000011",1993,1140,708,711900000,838700000
9,"Isle of Anglesey","W06000001",1993,1154,717,217400000,264700000
10,"Gwynedd","W06000002",1993,2406,1495,524500000,639700000
11,"Conwy","W06000003",1993,1590,988,457700000,554200000
12,"Denbighshire","W06000004",1993,1391,864,353700000,431300000
13,"Monmouthshire","W06000021",1993,1572,977,504400000,646700000
14,"Powys","W06000023",1993,5112,3176,568200000,740500000
15,"Carmarthenshire","W06000010",1993,3535,2197,711100000,9.07e+08
16,"Pembrokeshire","W06000009",1993,2537,1576,415300000,522700000
17,"Neath Port Talbot","W06000012",1993,848,527,480100000,593400000
18,"The Vale of Glamorgan","W06000014",1993,888,552,473300000,554300000
19,"Cardiff","W06000015",1993,1030,640,1305100000,1524500000
20,"Flintshire","W06000005",1993,1229,764,701900000,853800000
21,"Merthyr Tydfil","W06000024",1993,324,201,1.58e+08,189900000
22,"Rhondda, Cynon, Taff","W06000016",1993,1129,702,871300000,1037400000
23,"Ceredigion","W06000008",1993,2224,1382,291300000,372200000
24,"Blaenau Gwent","W06000019",1993,390,242,170700000,204100000
25,"Torfaen","W06000020",1993,460,286,262300000,307700000
26,"Wrexham","W06000006",1993,1172,728,389700000,477300000
27,"West Lothian","S12000040",1993,1073,667,657100000,803400000
28,"Renfrewshire","S12000038",1993,901,560,611200000,729200000
29,"City of Edinburgh","S12000036",1993,1434,891,1295100000,1538300000
30,"Falkirk","S12000014",1993,889,552,562900000,692200000
31,"Perth & Kinross","S12000048",1993,2975,1849,923500000,1155700000
32,"Fife","S12000047",1993,2702,1679,1163100000,1408500000
33,"Scottish Borders","S12000026",1993,3184,1978,4.76e+08,600900000
34,"East Lothian","S12000010",1993,1040,646,3.29e+08,405900000
35,"Highland","S12000017",1993,8149,5064,1015800000,1265200000
36,"Midlothian","S12000019",1993,620,385,268500000,323400000
37,"South Lanarkshire","S12000029",1993,2442,1517,8.79e+08,1133700000
38,"Dumfries & Galloway","S12000006",1993,4684,2911,718600000,9.7e+08
39,"East Ayrshire","S12000008",1993,1296,805,385200000,484100000
40,"South Ayrshire","S12000028",1993,1318,819,394200000,4.8e+08
41,"North Ayrshire","S12000021",1993,1128,701,329600000,394100000
42,"Stirling","S12000030",1993,1184,736,481400000,586300000
43,"West Dunbartonshire","S12000039",1993,405,252,276300000,323700000
44,"Argyll & Bute","S12000035",1993,2807,1744,3.67e+08,446800000
45,"Aberdeenshire","S12000034",1993,6577,4087,1111400000,1389900000
46,"Moray","S12000020",1993,1842,1145,2.82e+08,355100000
47,"Dundee City","S12000042",1993,549,341,403100000,472800000
48,"Inverclyde","S12000018",1993,401,249,245500000,287400000
49,"East Dunbartonshire","S12000045",1993,501,311,250500000,292800000
50,"Clackmannanshire","S12000005",1993,284,176,125400000,150900000
51,"Aberdeen City","S12000033",1993,976,606,610800000,720500000
52,"Angus","S12000041",1993,2009,1248,409400000,511700000
53,"Comhairle nan Eilean Siar","S12000013",1993,1234,767,75800000,96900000
54,"Orkney Islands","S12000023",1993,1076,669,54200000,67800000
55,"Shetland Islands","S12000027",1993,1001,622,74400000,95900000
56,"Stockport","E08000007",1993,958,595,833600000,983400000
57,"Barnet","E09000003",1993,729,453,819400000,961900000
59,"Northamptonshire","E10000021",1993,4416,2744,3133700000,3989600000
60,"Leicestershire","E10000018",1993,4332,2692,2740400000,3458800000
61,"Derbyshire","E10000007",1993,5529,3436,3025500000,3777600000
62,"Rotherham","E08000018",1993,1157,719,930400000,1175700000
63,"Leeds","E08000035",1993,2924,1817,2.655e+09,3246900000
64,"Medway","E06000035",1993,790,491,535700000,650600000
65,"Hampshire","E10000014",1993,8583,5333,6356500000,7556800000
66,"Hillingdon","E09000017",1993,719,447,1089700000,1274300000
67,"West Berkshire","E06000037",1993,1340,833,1164500000,1420400000
68,"Wiltshire","E06000054",1993,4600,2858,2235700000,2735400000
69,"Worcestershire","E10000034",1993,4127,2564,2694300000,3334600000
70,"Gloucestershire","E10000013",1993,5312,3301,2358700000,2894400000
