year,Electric Engagement,Falling Behind,Holistic Transition,Hydrogen Evolution
2026,0.0,0.0,0.0,0.0
2027,1.3692042038963925,0.7329569625757364,1.3619983015496093,1.3619983015496093
2028,2.9109490090531214,1.6589263778030159,2.9082855654219117,2.9082855654219117
2029,4.765857090523577,2.746670458572659,4.7794431435435465,4.77107708895676
2030,6.953376532541416,4.05968134686302,6.948890615301366,7.013308972935748
2031,9.53834006657719,5.565596121353446,9.492024964054703,9.612503091089984
2032,12.644502371109008,7.341823736722013,12.649672824197806,12.797180440695934
2033,16.320473559142883,9.341823164041312,16.709603299677067,16.57257889283288
2034,20.243107114654556,11.520235732331674,20.98777528347604,20.57106404978748
2035,24.032817940236967,13.989617946643142,25.16535435775728,24.44449741965717
2036,27.686005360510848,16.625651639633954,28.877268134269176,28.19811130560094
2037,30.01340841958146,19.51279144606153,31.02743796691565,30.327478149244286
2038,32.65387460522619,22.642151459340177,33.27756835532847,32.991247337218596
2039,35.131667194392,25.98301040780155,35.13739034220525,35.47684475970053
2040,37.454067702175216,29.317104503814615,36.81726442728789,37.38627880887955
2041,39.134167124834114,32.090278148687894,38.16485982862232,38.743761678249484
2042,40.080562045373355,34.756675825954225,39.048882210847204,40.04836032299523
2043,40.94589582838855,37.002933054465025,39.852926344874845,41.29141452229679
2044,41.700231022101,38.970021188886626,40.53743342662625,42.43379402275364
2045,42.41325916880935,40.74216639310852,41.19652963339147,43.497002342117156
2046,43.08239791326219,42.23559692797263,41.796528507450084,44.52189614016526
2047,43.572396698637746,43.12415240298473,41.9303294941653,45.280830831749576
2048,43.54471919431116,43.459048948921414,41.833612933900504,45.58683934630739
2049,43.46243299364677,43.73520970900238,41.644705559553366,45.84677195851842
2050,43.351455421338116,43.97103774495456,41.42684967590877,46.092215503122695
2051,43.15932076402255,44.207047333269024,41.08971635727272,46.34923835564709
