time,electricity,wind_speed
2009-01-01 00:00:00,0.402,7.464
2009-01-01 01:00:00,0.441,7.74
2009-01-01 02:00:00,0.467,7.933
2009-01-01 03:00:00,0.481,8.032
2009-01-01 04:00:00,0.472,7.975
2009-01-01 05:00:00,0.459,7.869
2009-01-01 06:00:00,0.45,7.809
2009-01-01 07:00:00,0.435,7.701
2009-01-01 08:00:00,0.399,7.433
2009-01-01 09:00:00,0.332,6.927
2009-01-01 10:00:00,0.256,6.313
2009-01-01 11:00:00,0.201,5.802
2009-01-01 12:00:00,0.177,5.561
2009-01-01 13:00:00,0.197,5.772
2009-01-01 14:00:00,0.245,6.213
2009-01-01 15:00:00,0.308,6.735
2009-01-01 16:00:00,0.379,7.287
2009-01-01 17:00:00,0.427,7.638
2009-01-01 18:00:00,0.456,7.849
2009-01-01 19:00:00,0.482,8.042
2009-01-01 20:00:00,0.497,8.147
2009-01-01 21:00:00,0.476,8.0
2009-01-01 22:00:00,0.43,7.656
2009-01-01 23:00:00,0.377,7.272
2009-01-02 00:00:00,0.318,6.822
2009-01-02 01:00:00,0.265,6.387
2009-01-02 02:00:00,0.219,5.969
2009-01-02 03:00:00,0.185,5.652
2009-01-02 04:00:00,0.167,5.451
2009-01-02 05:00:00,0.156,5.346
2009-01-02 06:00:00,0.156,5.348
2009-01-02 07:00:00,0.148,5.26
2009-01-02 08:00:00,0.125,4.981
2009-01-02 09:00:00,0.086,4.452
2009-01-02 10:00:00,0.051,3.852
2009-01-02 11:00:00,0.034,3.471
2009-01-02 12:00:00,0.035,3.489
2009-01-02 13:00:00,0.054,3.902
2009-01-02 14:00:00,0.086,4.446
2009-01-02 15:00:00,0.12,4.922
2009-01-02 16:00:00,0.165,5.443
2009-01-02 17:00:00,0.225,6.034
2009-01-02 18:00:00,0.289,6.584
2009-01-02 19:00:00,0.368,7.207
2009-01-02 20:00:00,0.451,7.816
2009-01-02 21:00:00,0.523,8.337
2009-01-02 22:00:00,0.578,8.75
2009-01-02 23:00:00,0.635,9.191
2009-01-03 00:00:00,0.692,9.674
2009-01-03 01:00:00,0.744,10.149
2009-01-03 02:00:00,0.781,10.554
2009-01-03 03:00:00,0.819,10.991
2009-01-03 04:00:00,0.847,11.387
2009-01-03 05:00:00,0.862,11.623
2009-01-03 06:00:00,0.868,11.714
2009-01-03 07:00:00,0.863,11.628
2009-01-03 08:00:00,0.841,11.302
2009-01-03 09:00:00,0.819,10.993
2009-01-03 10:00:00,0.83,11.143
2009-01-03 11:00:00,0.827,11.099
