,coverage,density,id,k,mass,mean,n,res_dim
0,1.0,0.188,0,376,1.0,0.188,2000,0
1,1.0,0.21448944666286365,1,376,0.8765,0.21448944666286365,1753,1
2,0.9973404255319149,0.22658610271903323,2,375,0.8275,0.22658610271903323,1655,1
3,0.9946808510638298,0.23791348600508905,3,374,0.786,0.23791348600508905,1572,2
4,0.9920212765957447,0.24983255190890824,4,373,0.7465,0.24983255190890824,1493,2
5,0.9893617021276596,0.2623413258110014,5,372,0.709,0.2623413258110014,1418,2
6,0.9867021276595744,0.27542687453600595,6,371,0.6735,0.27542687453600595,1347,2
7,0.9787234042553191,0.28862745098039216,7,368,0.6375,0.28862745098039216,1275,2
8,0.9707446808510638,0.3014037985136251,8,365,0.6055,0.3014037985136251,1211,2
9,0.9601063829787234,0.3139130434782609,9,361,0.575,0.3139130434782609,1150,3
10,0.9468085106382979,0.326007326007326,10,356,0.546,0.326007326007326,1092,3
11,0.9281914893617021,0.3408203125,11,349,0.512,0.3408203125,1024,3
12,0.9095744680851063,0.35185185185185186,12,342,0.486,0.35185185185185186,972,3
13,0.8936170212765957,0.3640303358613218,13,336,0.4615,0.3640303358613218,923,3
14,0.8776595744680851,0.3767123287671233,14,330,0.438,0.3767123287671233,876,3
15,0.8696808510638298,0.39302884615384615,15,327,0.416,0.39302884615384615,832,3
16,0.848404255319149,0.40379746835443037,16,319,0.395,0.40379746835443037,790,3
17,0.7553191489361702,0.4303030303030303,17,284,0.33,0.4303030303030303,660,3
18,0.7340425531914894,0.44019138755980863,18,276,0.3135,0.44019138755980863,627,4
19,0.7154255319148937,0.45210084033613446,19,269,0.2975,0.45210084033613446,595,4
20,0.699468085106383,0.4654867256637168,20,263,0.2825,0.4654867256637168,565,4
21,0.6861702127659575,0.48134328358208955,21,258,0.268,0.48134328358208955,536,4
22,0.6648936170212766,0.4911591355599214,22,250,0.2545,0.4911591355599214,509,4
23,0.6409574468085106,0.4989648033126294,23,241,0.2415,0.4989648033126294,483,5
24,0.6170212765957447,0.5065502183406113,24,232,0.229,0.5065502183406113,458,5
25,0.5904255319148937,0.5103448275862069,25,222,0.2175,0.5103448275862069,435,5
26,0.5691489361702128,0.5181598062953995,26,214,0.2065,0.5181598062953995,413,5
27,0.5452127659574468,0.5229591836734694,27,205,0.196,0.5229591836734694,392,5
28,0.523936170212766,0.5295698924731183,28,197,0.186,0.5295698924731183,372,5
29,0.5079787234042553,0.5410764872521246,29,191,0.1765,0.5410764872521246,353,5
30,0.48936170212765956,0.5492537313432836,30,184,0.1675,0.5492537313432836,335,5
31,0.4787234042553192,0.5660377358490566,31,180,0.159,0.5660377358490566,318,5
32,0.46808510638297873,0.5827814569536424,32,176,0.151,0.5827814569536424,302,5
33,0.449468085106383,0.5909090909090909,33,169,0.143,0.5909090909090909,286,6
34,0.4308510638297872,0.5977859778597786,34,162,0.1355,0.5977859778597786,271,6
35,0.4175531914893617,0.6108949416342413,35,157,0.1285,0.6108949416342413,257,6
36,0.4015957446808511,0.6188524590163934,36,151,0.122,0.6188524590163934,244,6
37,0.3829787234042553,0.6233766233766234,37,144,0.1155,0.6233766233766234,231,6
38,0.3670212765957447,0.6301369863013698,38,138,0.1095,0.6301369863013698,219,6
39,0.3537234042553192,0.6394230769230769,39,133,0.104,0.6394230769230769,208,6
40,0.3377659574468085,0.6446700507614214,40,127,0.0985,0.6446700507614214,197,6
41,0.324468085106383,0.6524064171122995,41,122,0.0935,0.6524064171122995,187,6
42,0.31117021276595747,0.6610169491525424,42,117,0.0885,0.6610169491525424,177,6
43,0.2978723404255319,0.6666666666666666,43,112,0.084,0.6666666666666666,168,6
44,0.2845744680851064,0.6729559748427673,44,107,0.0795,0.6729559748427673,159,6
45,0.2845744680851064,0.7086092715231788,45,107,0.0755,0.7086092715231788,151,6
46,0.27393617021276595,0.7202797202797203,46,103,0.0715,0.7202797202797203,143,7
47,0.26063829787234044,0.725925925925926,47,98,0.0675,0.725925925925926,135,7
48,0.25,0.7401574803149606,48,94,0.0635,0.7401574803149606,127,7
49,0.2393617021276596,0.75,49,90,0.06,0.75,120,7
50,0.22872340425531915,0.7543859649122807,50,86,0.057,0.7543859649122807,114,7
51,0.21808510638297873,0.7592592592592593,51,82,0.054,0.7592592592592593,108,7
52,0.22074468085106383,0.7614678899082569,52,83,0.0545,0.7614678899082569,109,7
53,0.22340425531914893,0.7636363636363637,53,84,0.055,0.7636363636363637,110,7
54,0.22606382978723405,0.7657657657657657,54,85,0.0555,0.7657657657657657,111,7
