,coverage,density,id,k,mass,mean,n,res_dim
0,1.0,0.07,0,140,1.0,0.07,2000,0
1,1.0,0.07368421052631578,1,140,0.95,0.07368421052631578,1900,1
2,1.0,0.07756232686980609,2,140,0.9025,0.07756232686980609,1805,1
3,1.0,0.08168028004667445,3,140,0.857,0.08168028004667445,1714,2
4,0.9857142857142858,0.08476658476658476,4,138,0.814,0.08476658476658476,1628,2
5,0.9857142857142858,0.08926261319534282,5,138,0.773,0.08926261319534282,1546,2
6,0.9785714285714285,0.09332425068119891,6,137,0.734,0.09332425068119891,1468,2
7,0.9714285714285714,0.0975609756097561,7,136,0.697,0.0975609756097561,1394,2
8,0.9642857142857143,0.10196374622356495,8,135,0.662,0.10196374622356495,1324,2
9,0.95,0.10580747812251393,9,133,0.6285,0.10580747812251393,1257,2
10,0.9357142857142857,0.10971524288107203,10,131,0.597,0.10971524288107203,1194,2
11,0.9285714285714286,0.1146384479717813,11,130,0.567,0.1146384479717813,1134,2
12,0.9071428571428571,0.11792014856081709,12,127,0.5385,0.11792014856081709,1077,3
13,0.8357142857142857,0.12433581296493093,13,117,0.4705,0.12433581296493093,941,4
14,0.8142857142857143,0.1276595744680851,14,114,0.4465,0.1276595744680851,893,4
15,0.8071428571428572,0.1332547169811321,15,113,0.424,0.1332547169811321,848,4
16,0.8,0.1391304347826087,16,112,0.4025,0.1391304347826087,805,4
17,0.8,0.14659685863874344,17,112,0.382,0.14659685863874344,764,4
18,0.8,0.15448275862068966,18,112,0.3625,0.15448275862068966,725,4
19,0.7928571428571428,0.1613372093023256,19,111,0.344,0.1613372093023256,688,4
20,0.7857142857142857,0.16845329249617153,20,110,0.3265,0.16845329249617153,653,4
21,0.7642857142857142,0.17258064516129032,21,107,0.31,0.17258064516129032,620,4
22,0.7571428571428571,0.1799660441426146,22,106,0.2945,0.1799660441426146,589,4
23,0.7428571428571429,0.18604651162790697,23,104,0.2795,0.18604651162790697,559,4
24,0.7214285714285714,0.1902071563088512,24,101,0.2655,0.1902071563088512,531,4
25,0.7214285714285714,0.2003968253968254,25,101,0.252,0.2003968253968254,504,4
26,0.7142857142857143,0.20920502092050208,26,100,0.239,0.20920502092050208,478,4
27,0.7,0.21585903083700442,27,98,0.227,0.21585903083700442,454,4
28,0.6928571428571428,0.22505800464037123,28,97,0.2155,0.22505800464037123,431,4
29,0.6785714285714286,0.23227383863080683,29,95,0.2045,0.23227383863080683,409,4
30,0.6642857142857143,0.23969072164948454,30,93,0.194,0.23969072164948454,388,5
31,0.6357142857142857,0.2418478260869565,31,89,0.184,0.2418478260869565,368,5
32,0.6142857142857143,0.24641833810888253,32,86,0.1745,0.24641833810888253,349,5
33,0.5928571428571429,0.25075528700906347,33,83,0.1655,0.25075528700906347,331,5
34,0.5857142857142857,0.2611464968152866,34,82,0.157,0.2611464968152866,314,5
35,0.5357142857142857,0.26595744680851063,35,75,0.141,0.26595744680851063,282,5
36,0.5142857142857142,0.2727272727272727,36,72,0.132,0.2727272727272727,264,5
37,0.4785714285714286,0.2838983050847458,37,67,0.118,0.2838983050847458,236,5
38,0.45,0.2985781990521327,38,63,0.1055,0.2985781990521327,211,5
39,0.32857142857142857,0.36507936507936506,39,46,0.063,0.36507936507936506,126,5
40,0.32142857142857145,0.37815126050420167,40,45,0.0595,0.37815126050420167,119,5
41,0.2857142857142857,0.38461538461538464,41,40,0.052,0.38461538461538464,104,5
42,0.29285714285714287,0.3904761904761905,42,41,0.0525,0.3904761904761905,105,5
