,coverage,density,id,k,mass,mean,n,res_dim
0,1.0,0.3475,0,695,1.0,0.3475,2000,0
1,1.0,0.36578947368421055,1,695,0.95,0.36578947368421055,1900,1
2,0.9942446043165467,0.3828254847645429,2,691,0.9025,0.3828254847645429,1805,1
3,0.981294964028777,0.39789964994165694,3,682,0.857,0.39789964994165694,1714,1
4,0.9755395683453237,0.41646191646191644,4,678,0.814,0.41646191646191644,1628,1
5,0.9611510791366906,0.4320827943078913,5,668,0.773,0.4320827943078913,1546,2
6,0.9467625899280575,0.4482288828337875,6,658,0.734,0.4482288828337875,1468,2
7,0.9381294964028777,0.46771879483500717,7,652,0.697,0.46771879483500717,1394,2
8,0.9223021582733812,0.48413897280966767,8,641,0.662,0.48413897280966767,1324,2
9,0.9093525179856116,0.5027844073190135,9,632,0.6285,0.5027844073190135,1257,2
10,0.8863309352517985,0.5159128978224455,10,616,0.597,0.5159128978224455,1194,2
11,0.8647482014388489,0.5299823633156967,11,601,0.567,0.5299823633156967,1134,2
12,0.8503597122302158,0.5487465181058496,12,591,0.5385,0.5487465181058496,1077,2
13,0.8388489208633093,0.5698924731182796,13,583,0.5115,0.5698924731182796,1023,2
14,0.8172661870503597,0.5849639546858908,14,568,0.4855,0.5849639546858908,971,2
15,0.8,0.6030368763557483,15,556,0.461,0.6030368763557483,922,2
16,0.7769784172661871,0.6171428571428571,16,540,0.4375,0.6171428571428571,875,2
17,0.7597122302158273,0.6353790613718412,17,528,0.4155,0.6353790613718412,831,2
18,0.7323741007194244,0.6451204055766794,18,509,0.3945,0.6451204055766794,789,3
19,0.7050359712230215,0.6542056074766355,19,490,0.3745,0.6542056074766355,749,3
20,0.6661870503597123,0.6690751445086706,20,463,0.346,0.6690751445086706,692,4
21,0.641726618705036,0.6788432267884322,21,446,0.3285,0.6788432267884322,657,4
22,0.5841726618705037,0.7060869565217391,22,406,0.2875,0.7060869565217391,575,4
23,0.5597122302158274,0.7124542124542125,23,389,0.273,0.7124542124542125,546,4
24,0.5366906474820143,0.7200772200772201,24,373,0.259,0.7200772200772201,518,4
25,0.5194244604316547,0.733739837398374,25,361,0.246,0.733739837398374,492,4
26,0.49928057553956834,0.7430406852248393,26,347,0.2335,0.7430406852248393,467,4
27,0.48345323741007196,0.7584650112866818,27,336,0.2215,0.7584650112866818,443,4
28,0.46474820143884893,0.7690476190476191,28,323,0.21,0.7690476190476191,420,4
29,0.4546762589928058,0.7919799498746867,29,316,0.1995,0.7919799498746867,399,4
30,0.43597122302158275,0.7994722955145118,30,303,0.1895,0.7994722955145118,379,4
31,0.4172661870503597,0.8055555555555556,31,290,0.18,0.8055555555555556,360,5
32,0.3841726618705036,0.8115501519756839,32,267,0.1645,0.8115501519756839,329,5
33,0.3496402877697842,0.8181818181818182,33,243,0.1485,0.8181818181818182,297,5
34,0.27050359712230215,0.8663594470046083,34,188,0.1085,0.8663594470046083,217,5
35,0.24172661870503598,0.8888888888888888,35,168,0.0945,0.8888888888888888,189,5
36,0.2014388489208633,0.9150326797385621,36,140,0.0765,0.9150326797385621,153,5
37,0.1712230215827338,0.9296875,37,119,0.064,0.9296875,128,5
38,0.16258992805755396,0.9338842975206612,38,113,0.0605,0.9338842975206612,121,5
39,0.1539568345323741,0.9385964912280702,39,107,0.057,0.9385964912280702,114,5
40,0.14676258992805755,0.9444444444444444,40,102,0.054,0.9444444444444444,108,5
41,0.13956834532374102,0.9509803921568627,41,97,0.051,0.9509803921568627,102,5
42,0.14244604316546763,0.9519230769230769,42,99,0.052,0.9519230769230769,104,5
43,0.14532374100719425,0.9528301886792453,43,101,0.053,0.9528301886792453,106,5
44,0.14820143884892087,0.9537037037037037,44,103,0.054,0.9537037037037037,108,5
45,0.1510791366906475,0.9545454545454546,45,105,0.055,0.9545454545454546,110,5
46,0.1539568345323741,0.9553571428571429,46,107,0.056,0.9553571428571429,112,5
47,0.15683453237410072,0.956140350877193,47,109,0.057,0.956140350877193,114,5
48,0.15827338129496402,0.9565217391304348,48,110,0.0575,0.9565217391304348,115,5
49,0.15971223021582734,0.9568965517241379,49,111,0.058,0.9568965517241379,116,5
50,0.16115107913669063,0.9572649572649573,50,112,0.0585,0.9572649572649573,117,5
51,0.16258992805755396,0.9576271186440678,51,113,0.059,0.9576271186440678,118,5
52,0.16402877697841728,0.957983193277311,52,114,0.0595,0.957983193277311,119,5
53,0.18273381294964028,0.9621212121212122,53,127,0.066,0.9621212121212122,132,5
