,coverage,density,id,k,mass,mean,n,res_dim
0,1.0,0.175,0,350,1.0,0.175,2000,0
1,1.0,0.18421052631578946,1,350,0.95,0.18421052631578946,1900,1
2,1.0,0.19390581717451524,2,350,0.9025,0.19390581717451524,1805,1
3,0.9971428571428571,0.20361726954492415,3,349,0.857,0.20361726954492415,1714,2
4,0.9914285714285714,0.21314496314496315,4,347,0.814,0.21314496314496315,1628,2
5,0.9914285714285714,0.2244501940491591,5,347,0.773,0.2244501940491591,1546,2
6,0.9857142857142858,0.23501362397820164,6,345,0.734,0.23501362397820164,1468,2
7,0.98,0.2460545193687231,7,343,0.697,0.2460545193687231,1394,2
8,0.9628571428571429,0.2545317220543807,8,337,0.662,0.2545317220543807,1324,2
9,0.9514285714285714,0.2649164677804296,9,333,0.6285,0.2649164677804296,1257,2
10,0.9285714285714286,0.2721943048576214,10,325,0.597,0.2721943048576214,1194,2
11,0.9085714285714286,0.2804232804232804,11,318,0.567,0.2804232804232804,1134,2
12,0.9028571428571428,0.2934076137418756,12,316,0.5385,0.2934076137418756,1077,2
13,0.9,0.30791788856304986,13,315,0.5115,0.30791788856304986,1023,2
14,0.8885714285714286,0.32028836251287335,14,311,0.4855,0.32028836251287335,971,2
15,0.88,0.33405639913232105,15,308,0.461,0.33405639913232105,922,2
16,0.8685714285714285,0.3474285714285714,16,304,0.4375,0.3474285714285714,875,2
17,0.8514285714285714,0.358604091456077,17,298,0.4155,0.358604091456077,831,2
18,0.8285714285714286,0.36755386565272496,18,290,0.3945,0.36755386565272496,789,2
19,0.8114285714285714,0.37917222963951935,19,284,0.3745,0.37917222963951935,749,2
20,0.7857142857142857,0.38677918424753865,20,275,0.3555,0.38677918424753865,711,2
21,0.7742857142857142,0.4014814814814815,21,271,0.3375,0.4014814814814815,675,2
22,0.76,0.41497659906396256,22,266,0.3205,0.41497659906396256,641,2
23,0.74,0.42598684210526316,23,259,0.304,0.42598684210526316,608,2
24,0.7314285714285714,0.4436741767764298,24,256,0.2885,0.4436741767764298,577,2
25,0.7142857142857143,0.4562043795620438,25,250,0.274,0.4562043795620438,548,2
26,0.6885714285714286,0.4634615384615385,26,241,0.26,0.4634615384615385,520,2
27,0.6714285714285714,0.4757085020242915,27,235,0.247,0.4757085020242915,494,2
28,0.6485714285714286,0.4840085287846482,28,227,0.2345,0.4840085287846482,469,3
29,0.6285714285714286,0.4943820224719101,29,220,0.2225,0.4943820224719101,445,4
30,0.6028571428571429,0.5,30,211,0.211,0.5,422,4
31,0.58,0.5075,31,203,0.2,0.5075,400,4
32,0.5628571428571428,0.5184210526315789,32,197,0.19,0.5184210526315789,380,4
33,0.54,0.5235457063711911,33,189,0.1805,0.5235457063711911,361,4
34,0.5228571428571429,0.5350877192982456,34,183,0.171,0.5350877192982456,342,4
35,0.4857142857142857,0.5414012738853503,35,170,0.157,0.5414012738853503,314,5
36,0.4685714285714286,0.5503355704697986,36,164,0.149,0.5503355704697986,298,5
37,0.4514285714285714,0.558303886925795,37,158,0.1415,0.558303886925795,283,5
38,0.43142857142857144,0.5634328358208955,38,151,0.134,0.5634328358208955,268,5
39,0.4257142857142857,0.5866141732283464,39,149,0.127,0.5866141732283464,254,5
40,0.4057142857142857,0.5892116182572614,40,142,0.1205,0.5892116182572614,241,5
41,0.3914285714285714,0.6008771929824561,41,137,0.114,0.6008771929824561,228,5
42,0.38,0.6157407407407407,42,133,0.108,0.6157407407407407,216,5
43,0.3657142857142857,0.624390243902439,43,128,0.1025,0.624390243902439,205,5
44,0.3485714285714286,0.6288659793814433,44,122,0.097,0.6288659793814433,194,5
45,0.3342857142857143,0.6358695652173914,45,117,0.092,0.6358695652173914,184,6
46,0.30857142857142855,0.6428571428571429,46,108,0.084,0.6428571428571429,168,6
47,0.29428571428571426,0.6477987421383647,47,103,0.0795,0.6477987421383647,159,6
48,0.28285714285714286,0.6556291390728477,48,99,0.0755,0.6556291390728477,151,6
49,0.2714285714285714,0.6643356643356644,49,95,0.0715,0.6643356643356644,143,6
50,0.26,0.674074074074074,50,91,0.0675,0.674074074074074,135,7
51,0.24857142857142858,0.6796875,51,87,0.064,0.6796875,128,7
52,0.23714285714285716,0.6859504132231405,52,83,0.0605,0.6859504132231405,121,7
53,0.21428571428571427,0.6880733944954128,53,75,0.0545,0.6880733944954128,109,7
54,0.2,0.693069306930693,54,70,0.0505,0.693069306930693,101,7
55,0.20285714285714285,0.696078431372549,55,71,0.051,0.696078431372549,102,7
