,coverage,density,id,k,mass,mean,n,res_dim
0,1.0,0.0505,0,101,1.0,0.0505,2000,0
1,1.0,0.053157894736842105,1,101,0.95,0.053157894736842105,1900,1
2,1.0,0.05595567867036011,2,101,0.9025,0.05595567867036011,1805,1
3,1.0,0.058926487747957994,3,101,0.857,0.058926487747957994,1714,2
4,0.9504950495049505,0.0636182902584493,4,96,0.7545,0.0636182902584493,1509,3
5,0.9306930693069307,0.06559665038381018,5,94,0.7165,0.06559665038381018,1433,3
6,0.9306930693069307,0.06906686260102865,6,94,0.6805,0.06906686260102865,1361,3
7,0.9207920792079208,0.07198142414860681,7,93,0.646,0.07198142414860681,1292,3
8,0.9108910891089109,0.07497962510187449,8,92,0.6135,0.07497962510187449,1227,3
9,0.900990099009901,0.07811158798283262,9,91,0.5825,0.07811158798283262,1165,3
10,0.900990099009901,0.08227848101265822,10,91,0.553,0.08227848101265822,1106,3
11,0.8910891089108911,0.08571428571428572,11,90,0.525,0.08571428571428572,1050,3
12,0.8811881188118812,0.08926780341023069,12,89,0.4985,0.08926780341023069,997,3
13,0.8712871287128713,0.09292502639915523,13,88,0.4735,0.09292502639915523,947,3
14,0.8514851485148515,0.09566184649610679,14,86,0.4495,0.09566184649610679,899,3
15,0.8514851485148515,0.10070257611241218,15,86,0.427,0.10070257611241218,854,3
16,0.8415841584158416,0.10480887792848335,16,85,0.4055,0.10480887792848335,811,3
17,0.8415841584158416,0.11038961038961038,17,85,0.385,0.11038961038961038,770,3
18,0.8415841584158416,0.11627906976744186,18,85,0.3655,0.11627906976744186,731,3
19,0.8316831683168316,0.12103746397694524,19,84,0.347,0.12103746397694524,694,3
20,0.8118811881188119,0.1244309559939302,20,82,0.3295,0.1244309559939302,659,3
21,0.7920792079207921,0.12779552715654952,21,80,0.313,0.12779552715654952,626,4
22,0.7623762376237624,0.12962962962962962,22,77,0.297,0.12962962962962962,594,4
23,0.7623762376237624,0.13652482269503546,23,77,0.282,0.13652482269503546,564,4
24,0.7524752475247525,0.14205607476635515,24,76,0.2675,0.14205607476635515,535,4
25,0.7326732673267327,0.14566929133858267,25,74,0.254,0.14566929133858267,508,4
26,0.7326732673267327,0.15352697095435686,26,74,0.241,0.15352697095435686,482,4
27,0.7227722772277227,0.15973741794310722,27,73,0.2285,0.15973741794310722,457,4
28,0.7227722772277227,0.16820276497695852,28,73,0.217,0.16820276497695852,434,4
29,0.7227722772277227,0.17718446601941748,29,73,0.206,0.17718446601941748,412,4
30,0.7029702970297029,0.1815856777493606,30,71,0.1955,0.1815856777493606,391,4
31,0.6732673267326733,0.18328840970350405,31,68,0.1855,0.18328840970350405,371,4
32,0.6534653465346535,0.1875,32,66,0.176,0.1875,352,4
33,0.6435643564356436,0.19461077844311378,33,65,0.167,0.19461077844311378,334,4
34,0.6336633663366337,0.20189274447949526,34,64,0.1585,0.20189274447949526,317,4
35,0.6237623762376238,0.20930232558139536,35,63,0.1505,0.20930232558139536,301,4
36,0.6039603960396039,0.21403508771929824,36,61,0.1425,0.21403508771929824,285,4
37,0.5841584158415841,0.21851851851851853,37,59,0.135,0.21851851851851853,270,4
38,0.5643564356435643,0.22265625,38,57,0.128,0.22265625,256,4
39,0.5445544554455446,0.22633744855967078,39,55,0.1215,0.22633744855967078,243,4
40,0.5346534653465347,0.23478260869565218,40,54,0.115,0.23478260869565218,230,4
41,0.5247524752475248,0.24311926605504589,41,53,0.109,0.24311926605504589,218,4
42,0.5247524752475248,0.2560386473429952,42,53,0.1035,0.2560386473429952,207,4
43,0.5148514851485149,0.2653061224489796,43,52,0.098,0.2653061224489796,196,4
44,0.504950495049505,0.27419354838709675,44,51,0.093,0.27419354838709675,186,5
45,0.48514851485148514,0.2784090909090909,45,49,0.088,0.2784090909090909,176,5
46,0.46534653465346537,0.281437125748503,46,47,0.0835,0.281437125748503,167,5
47,0.44554455445544555,0.2848101265822785,47,45,0.079,0.2848101265822785,158,5
48,0.42574257425742573,0.2866666666666667,48,43,0.075,0.2866666666666667,150,6
49,0.43564356435643564,0.2913907284768212,49,44,0.0755,0.2913907284768212,151,6
