,coverage,density,id,k,mass,mean,n,res_dim
0,1.0,0.307,0,614,1.0,0.307,2000,0
1,1.0,0.3231578947368421,1,614,0.95,0.3231578947368421,1900,1
2,0.996742671009772,0.33905817174515235,2,612,0.9025,0.33905817174515235,1805,1
3,0.9869706840390879,0.35355892648774795,3,606,0.857,0.35355892648774795,1714,1
4,0.9837133550488599,0.371007371007371,4,604,0.814,0.371007371007371,1628,1
5,0.9706840390879479,0.3855109961190168,5,596,0.773,0.3855109961190168,1546,1
6,0.9625407166123778,0.4025885558583106,6,591,0.734,0.4025885558583106,1468,1
7,0.9511400651465798,0.41893830703012913,7,584,0.697,0.41893830703012913,1394,1
8,0.9381107491856677,0.4350453172205438,8,576,0.662,0.4350453172205438,1324,1
9,0.9201954397394136,0.4494828957836118,9,565,0.6285,0.4494828957836118,1257,1
10,0.8990228013029316,0.4623115577889447,10,552,0.597,0.4623115577889447,1194,1
11,0.8778501628664495,0.47530864197530864,11,539,0.567,0.47530864197530864,1134,1
12,0.8697068403908795,0.4958217270194986,12,534,0.5385,0.4958217270194986,1077,1
13,0.8566775244299675,0.5141739980449658,13,526,0.5115,0.5141739980449658,1023,1
14,0.8338762214983714,0.5272914521112255,14,512,0.4855,0.5272914521112255,971,1
15,0.8175895765472313,0.544468546637744,15,502,0.461,0.544468546637744,922,1
16,0.7947882736156352,0.5577142857142857,16,488,0.4375,0.5577142857142857,875,1
17,0.7817589576547231,0.5776173285198556,17,480,0.4155,0.5776173285198556,831,1
18,0.742671009771987,0.5914396887159533,18,456,0.3855,0.5914396887159533,771,2
19,0.6775244299674267,0.6208955223880597,19,416,0.335,0.6208955223880597,670,2
20,0.6547231270358306,0.6320754716981132,20,402,0.318,0.6320754716981132,636,2
21,0.6319218241042345,0.6423841059602649,21,388,0.302,0.6423841059602649,604,2
22,0.5895765472312704,0.6581818181818182,22,362,0.275,0.6581818181818182,550,2
23,0.5765472312703583,0.6781609195402298,23,354,0.261,0.6781609195402298,522,2
24,0.5537459283387622,0.6868686868686869,24,340,0.2475,0.6868686868686869,495,2
25,0.5374592833876222,0.7021276595744681,25,330,0.235,0.7021276595744681,470,2
26,0.5179153094462541,0.7130044843049327,26,318,0.223,0.7130044843049327,446,2
27,0.496742671009772,0.7210401891252955,27,305,0.2115,0.7210401891252955,423,2
28,0.4788273615635179,0.7331670822942643,28,294,0.2005,0.7331670822942643,401,2
29,0.46579804560260585,0.7526315789473684,29,286,0.19,0.7526315789473684,380,2
30,0.44788273615635177,0.7617728531855956,30,275,0.1805,0.7617728531855956,361,2
31,0.43159609120521175,0.7748538011695907,31,265,0.171,0.7748538011695907,342,2
32,0.41205211726384366,0.7808641975308642,32,253,0.162,0.7808641975308642,324,2
33,0.3957654723127036,0.7915309446254072,33,243,0.1535,0.7915309446254072,307,2
34,0.3811074918566775,0.8041237113402062,34,234,0.1455,0.8041237113402062,291,2
35,0.36644951140065146,0.8152173913043478,35,225,0.138,0.8152173913043478,276,2
36,0.3534201954397394,0.8282442748091603,36,217,0.131,0.8282442748091603,262,2
37,0.2671009771986971,0.8961748633879781,37,164,0.0915,0.8961748633879781,183,2
38,0.23941368078175895,0.9130434782608695,38,147,0.0805,0.9130434782608695,161,2
39,0.2280130293159609,0.9210526315789473,39,140,0.076,0.9210526315789473,152,2
40,0.2182410423452769,0.9305555555555556,40,134,0.072,0.9305555555555556,144,2
41,0.20684039087947884,0.9338235294117647,41,127,0.068,0.9338235294117647,136,2
42,0.1970684039087948,0.937984496124031,42,121,0.0645,0.937984496124031,129,3
43,0.18729641693811075,0.9426229508196722,43,115,0.061,0.9426229508196722,122,4
44,0.1791530944625407,0.9565217391304348,44,110,0.0575,0.9565217391304348,115,4
45,0.18078175895765472,0.9568965517241379,45,111,0.058,0.9568965517241379,116,4
46,0.18241042345276873,0.9572649572649573,46,112,0.0585,0.9572649572649573,117,4
47,0.18403908794788273,0.9576271186440678,47,113,0.059,0.9576271186440678,118,4
48,0.18566775244299674,0.957983193277311,48,114,0.0595,0.957983193277311,119,4
49,0.18729641693811075,0.9583333333333334,49,115,0.06,0.9583333333333334,120,4
50,0.18892508143322476,0.9586776859504132,50,116,0.0605,0.9586776859504132,121,4
